#,dataset_id,min(minimumDepthInMeters),max(maximumDepthInMeters)
284,"""6f0c7e6b-f07c-4fe8-90e1-210b8626279a""",91.440002,182.880005
285,"""086623ff-31b0-43e8-8886-9f8d890b6632""",5012.0,5041.0
286,"""4135dae1-350c-4002-b123-014833048fe2""",0.0,1.0
287,"""8494b0cb-551e-4997-8cce-2f8aa7242b86""",4.0,15.0
288,"""d5224b8a-822e-48c0-bf0a-77821452ff0a""",0.0,0.0
289,"""4432899b-e6e3-46c2-a2bc-3328ee6a2692""",0.0,0.0
290,"""0524da4b-6e66-4338-bf63-5ef2c63ae54b""",0.0,300.0
291,"""8937421c-df4e-467a-9640-98c17baabccf""",136.0,136.0
292,"""f3d7798e-7bf2-4b85-8ed4-18f2c1849d7d""",139.0,4780.0
293,"""d9118970-796c-485d-9d2c-b6853283907a""",29.0,147.0
294,"""db9358a6-7487-4c74-8fd8-9d47c2a3a30e""",2.0,15.0
295,"""ae3a986e-4df9-4e95-a46d-596d3c02a1a9""",7.3,12.7
296,"""d556b9d4-7625-4aa2-894d-441eabae47f7""",12.08,2714.459961
297,"""cc919ac4-9660-44b7-9136-5060ccb1506c""",0.0,0.0
298,"""363961a9-9f45-46df-980b-0b076e66a296""",0.0,440.0
299,"""a54a77db-7b42-4101-8d71-1adec3dd4ed5""",0.0,30.0
300,"""4c033f09-7a21-43e5-a4c6-55842027d141""",0.2,4008.0
301,"""bd91634e-d431-4eb7-a3f7-dc29bf6262be""",0.0,225.0
302,"""14408cc8-5d37-46d1-91a9-d838fc339ff9""",0.0,2152.0
303,"""860689dd-8ea2-4df9-b7e4-c91d8ee49231""",4.0,4.0
304,"""b9915edd-16b0-4aa9-9a0d-3d14574cfb61""",0.0,30.0
305,"""7de27276-f9f7-40a2-bbd3-18512b50fe28""",-0.2,216.024536
306,"""acd6f1b1-2e9b-48a6-b022-cee41b28f3b1""",1.0,31.0
307,"""0ec403c9-23b3-4529-ae51-8a0877f22450""",6.0,63.0
308,"""e8e362d0-93a0-44bb-bd88-a599e3766f6f""",0.0,70.0
309,"""03e33888-23b1-42f2-a0d3-caf759fa858c""",31.0,717.0
310,"""693f6686-3f0b-4f81-8f27-1ae44c17c33e""",2.4,32.900002
311,"""d1001fdc-d4a2-4d01-bcd2-2e122f2ca537""",-9.0,7250.0
312,"""320bc4a4-e0ee-493b-b415-63ea35137879""",3.0,54.0
313,"""eee81b0b-6b72-4963-9f43-ff1631bbfea3""",0.0,18.0
314,"""32b93d97-38b1-4f58-8b75-0aaf786bf55b""",0.0,46.0
315,"""2e9e9830-d7cf-43f3-ba38-12ac06a7c0ba""",0.0,5726.0
316,"""4aaa85a5-6cfb-45bf-9ca4-ca431db88849""",0.0,55.0
317,"""00f136b5-9091-4eb2-a2af-fc2ffb80b938""",73.0,210.0
318,"""aa9787d6-c4db-4fde-8e82-a6234de09e47""",0.75,3.75
319,"""2766a34e-ffd6-4e00-ab02-eccff90ec0ac""",0.0,10.0
320,"""b015ead3-8088-47fa-a379-2be0e68c378f""",257.653778,3407.895508
321,"""3e903597-4384-45cf-a0aa-b098c2987c1a""",47.0,64.0
322,"""15f11e0d-44ec-4cb0-97cf-d2098b72e3a7""",7.0,130.0
323,"""0860ea0a-6f67-4ef9-8f80-3938e55b951b""",0.0,1100.0
324,"""f996a819-8a22-4306-97eb-ca40dee61263""",0.0,137.0
325,"""b4668bbe-4b5f-412a-ae1f-1dae3dedb38a""",0.0,100.0
326,"""17ce69d0-2504-4ae3-bc87-16b096863f51""",0.0,11000.0
327,"""49aa5d2c-29ab-47bd-93bd-57fc25a0c257""",0.0,1000.0
328,"""e0b19500-a6b0-44dd-ba09-f492c4fe4fa4""",3.0,9.9
329,"""e97ffc58-cc04-4a63-9360-440c4441fdf4""",2.5,3.0
330,"""31931936-77cc-4562-a775-b1553fe7ffe8""",12.0,16.0
331,"""b856037f-bbdf-45da-9b43-c7ac1a6c74d3""",15.0,71.0
332,"""3cd94a39-6a58-4f0e-9c74-e044e7a0e737""",0.0,10000.0
333,"""baa93c4a-5aba-4464-8f4f-40115021a35d""",0.3048,29.0
334,"""afd29291-68e3-4c18-8428-958ef71f87ec""",47.0,1354.0
335,"""cce4e3d8-f2c8-45a3-8d0b-0a5a43f59bd1""",0.0,100.0
336,"""e77f1b7f-aa81-4e0c-8e88-8ac436453d7f""",194.0,1700.0
337,"""796780d8-2753-48eb-8dc8-02f16a023e59""",0.0,215.0
338,"""62658cbe-5420-4c6f-91cd-0acb6d8bc03a""",34.0,2333.0
339,"""9d11eb9f-3f83-44a0-8894-a9adf3bb0761""",410.584991,2734.518066
340,"""b0ae29fa-8e83-4218-ba06-80efa0cf82e5""",0.0,40.0
341,"""07590136-0a80-4c78-b6b5-ad107fb56d03""",0.0,4481.0
